NAME,FORENAME,OCCPN/STATUS,PLACE,TYPE/NOTE,YEAR,FOLIO
ACLAND,"Sir John,",bart,Colombe St John,,1670,190
,,,"[Columbjohn, Broadclist]",,,
,,,,admon with will on coming of age of Hugh ACLAND,,
,,,,will registered 156 Essex,1648,
ADDINGTON,"John,",esq,High Bickington,,1661,104
AISHFORD,"Henry,",esq,Ashford,,1662,134
,,,[Ayshford],,,
ALLEN,Richard,yeoman,Branton,,1662,78
,,,[?Braunton],,,
ANTHONY,Edward,goldsmith,Exeter,,1667,101
ASHFORD,"Arthur,",esq,Ayshford,,1670,53
ATKIN,"Frances,",spinster,Hartland,,1665,11
ATKIN,William the elder,gent.,"Blogberry, Hartland",,1663,31
ATKINSON,Thomas,,"St Botolph, Aldgate, London",,1666,f30
,,,,(Devon @ calendar),,
,,,,admon with will,,
AUSTEN,Joshua,,Exeter,,1663,76
,,,"apprentice with William HOOPER, linnendraper",,,
AUSTEN,Roger,mariner,"Bastable, Cornwall",,1667,128
,,,"d. at sea unmarried in ship ""Antelop""",,,
,,,"[Barnstable, Devon]",,,
AUSTEN,"Thomas,",gent.,Okehampton,,1670,69
AWD see EWD,,,,,,
BAKER,Edward,clothier,Culmestocke,,1663,57
BAKER,Thomas,mariner,Fremington,,1661,169
,,,,,,
BALCH,John,,Pilton,Sentence,1670,106
BALL,John,yeoman,Molland,,1668,16
BARTLETT,Bernard,merchant,Exeter,,1670,44
BARTLETT,John,woollen draper,Exeter,,1668,16
BARTON,"John,",esq,Silferton,,1661,66
BASSETT,Thomas,mariner,Painton,,1665,1
,,,"d. aboard, unmarried",,,
,,,[Paignton],,,
BEARD,Benjamin,mercer,Exeter,,1670,13
BEARD,Samuel,mercer,Exeter,,1667,89
,,,"""before taking my horse to London""",,,
BE(A)RE,Edward,clothier,Tiverton,,1661,151
BEARE,Elizabeth,,Aish,,1661,93
,,wife of Balthaezare BEARE esquire,,,,
,,,[?hamlet of South Brent],,,
BEDWELL,Thomas,,Oakhampton Sentence,,1661,87
BENNETT,James,mariner,Plimoth,,1661,169
,,,d. abroad,,,
BESLEY,John,yeoman,Colverleigh,,1662,80
BIANCO,Captain Lewis,,Plymouth,,1669,135
,,,"(Capt of ""Ascension"")",,,
,,,son of Francisco BIANCO,,,
BIGILSTON,James,,late of Exeter,,1666,18
,,,"now of St Martin, Ludgate, London",,,
BLAKE,George,,Plymstock,Sentence,1666,108
BLAKE,"George,",gent.,Plymstock,,1668,15
BLOCKE,Hendricke,merchant,Plymouth,,1669,81
BOOLE,John,,Bideford,,1668,122
BOWERMAN,"Henry,",gent,Hemiock,,1665,110
BOWERMAN,"John,",esq,"West Towne, Hemiocke",,1664,27
BOWND,"Mary,",widow,Plymouth,,1669,15
BRAGG,Richard,,Devon,Admon,1666,April
,,,[no place name recorded],,,
BRITTON,George,yeoman,Georgeham,,1661,17
BROKING,Nicholas,merchant,Exeter,,1667,129
BROWNE,John,mariner,Dartmouth,,1666,174
BROWNE,Thomas,,Plymouth,,1663,89
BUDLEY,"Judith,",widow,Dartmouth,,1668,165
BULWORTHE,"Julian,",widow,Barnstaple,,1661,17
BURGES,Thomas,victuler,Pleamouth,,1662,60
,,,[Plymouth],,,
BURGESSE,Roger,,Instow,Nuncupated,1668,76
,,,,Sentence,1668,111
,,,,,,
,,,,,,
BURY,"John,",esq,Collaton,,1667,77
,,,[Colyton],,,
BURNILL,John,husbandman,Cheriton Bishopp,,1667,16
BURROW,James,yeoman,Uffcolmne,,1662,122
BUTSON,"Margery,",widow,Broadhembury,,1667,45
CAREW,Elizabeth,,"Risdon, Studly (Devon)",,1669,69
,,,"[Stoodleigh, nr Tiverton]",,,
CARTER,John,,Plymouth,,1661,152
CEELY,Christopher,merchant,Plymouth,,1670,72
CHAMPLYN,William,,Devon,Admon,1662,Nov
,,,,will registered April 1660,,
,,,[no place name recorded],,,
CHANNON,"Richard,",esq,Ottery St Mary,,1670,173
CHAPPELL,Samuel,merchant,Newton (Abbot),,1670,16
CHEEKE,Roger,brewer,Exeter,,1663,105
CHICHESTER,"John,",esq,Widworthy,,1661,137
CHILCOTE,Humfrey,yeoman,Morchard Bishop,,1662,36
CLARKE,Henry,innkeeper,Plymouth,,1669,29
CLARKE,John,vinter,Plymouth,,1670,56
CLEVERDON,Henry,,Great Torrington,,1662,81
CLIFFE,"Robert,",gent,Merton,,1663,90
CLIFFORD,"Joan,",widow,Culmstock,,1663,33
CLOUTMAN,William,yeoman,Comb Martin,,1670,132
COCK,Lucas,,late of Plymouth,,1661,68
,,,now of Island of Barbadoes,,,
COCKERUM,William,husbandman,Northtew (Northlew),,1667,90
COGAN,John,yeoman,"Hawkchurch, Dorset",,1663,129
CORNISH,William,,Plymouth,,1670,16
COLEMAN,"William,",esq,"John, Luscott",,1664,78
,,,,Sentence,1664,83
COLEWORTHY,John,anchor smith,Plymouth,,1665,71
COLLAMORE,"Joan,",gentlewoman,Uplowman,,1664,3
,,,"d. in St Benet Fink, London",,,
COLRIDGE,Humphry,yeoman,"Wallen, Drewsteignton",,1669,156
,,,,Sentence,1669,116
COMER,Thomas,yeoman,Clehanger,Will,1665,24
,,,[Clayhanger],Admon,1666,Mch
CONANT,"Benjamin,",gent,"Hemiocke, Dev",,1664,12
COOK,"Elizabeth,",spinster,Alphington,Nuncupated,1667,35
,,,,(and),1668,101
,,,,(and) Nuncupated,1669,5
COOK,John,merchant,Exeter,,1669,136
COOKE,Nicholas,mercer,Barnstaple,,1667,90
COOKE,Oliver,cooper,Pilton,,1662,138
COPPLESTONE,"Hugh, gent",,"Hawkchurch, Dorset",,1664,132
CORY,William,mercer,Holsworthy,,1665,14
COTING,Peter,mariner,Westley,,1665,92
,,,"now in St Bart. the Less Hospital, London",,,
,,,[Westleigh],,,
COX,Thomas,yeoman,Farway,,1662,62
COYTE,Solomon,shipwright,Plimouth,,1669,137
CRELOCK,Abraham,yeoman,Bediford,,1665,47
