cat_id	will_sentence	title	forename	surname	occupation	geog_info	parish_place	county_country	date	first_date	last_date	edoc_id	image_id	year
2531095	W		Nicholas	Couch	Surgeon	Saint Margaret Westminster, Middlesex	Saint Margaret Westminster	Middlesex	19 August 1714	17140819	17140819	748539	ID=748539	1714
2531095	W		Nicholas	South	Gentleman	Kingston upon Thames, Surrey	Kingston upon Thames	Surrey	10 August 1714	17140810	17140810	748643	ID=748643	1714
2531095	W		Patient	Berry	Widow	Saint Kew, Cornwall	Saint Kew	Cornwall	29 July 1714	17140729	17140729	748400	ID=748400	1714
2531095	W		Peter	Foissin		Paris, France	Paris	France	13 July 1714	17140713	17140713	748371	ID=748371	1714
2531095	W		Peter	Francis	now belonging to the Good Ship London bound to the East Indies				28 July 1714	17140728	17140728	748369	ID=748369	1714
2531095	W		Peter	Lecher		Saint Gall, Switzerland	Saint Gall	Switzerland	03 July 1714	17140703	17140703	748414	ID=748414	1714
2531095	W		Peter	Long	Surgeon	Wapping Stepney, Middlesex	Wapping Stepney	Middlesex	27 July 1714	17140727	17140727	748412	ID=748412	1714
2531095	W		Philiberte	de Lonay D'Entragues	Widow	Republic of Geneva	Republic of Geneva		09 July 1714	17140709	17140709	748357	ID=748357	1714
2531095	W		Philip	Coyney	Gentleman	Saint Andrew Holborn, Middlesex	Saint Andrew Holborn	Middlesex	09 July 1714	17140709	17140709	748333	ID=748333	1714
2531095	W		Philip	Mussard or Musard	Gentleman	Saint Martins in the Fields, Middlesex	Saint Martins in the Fields	Middlesex	09 July 1714	17140709	17140709	748427	ID=748427	1714
2531095	W		Richard	Barker	Merchant Taylor	London	London		14 July 1714	17140714	17140714	748315	ID=748315	1714
2531095	W		Richard	Brocklesby	Clerk	Lincolnshire		Lincolnshire	13 August 1714	17140813	17140813	748519	ID=748519	1714
2531095	W		Richard	Cowdrey	Felt maker	London	London		09 July 1714	17140709	17140709	748352	ID=748352	1714
2531095	W		Richard	Hoskins	Husbandman	Low Layton, Essex	Low Layton	Essex	20 July 1714	17140720	17140720	748384	ID=748384	1714
2531095	W		Richard	Mart	Gentleman	Saint Stephen Coleman Street, City of London	Saint Stephen Coleman Street	City of London	21 July 1714	17140721	17140721	748428	ID=748428	1714
2531095	W		Richard	Phillips	Tallow Chandler	London	London		07 July 1714	17140707	17140707	748444	ID=748444	1714
2531095	W		Richard	Ravell	Felt maker	Saint Martin in the Fields, Middlesex	Saint Martin in the Fields	Middlesex	09 July 1714	17140709	17140709	748455	ID=748455	1714
2531095	W		Richard	Robins	Gentleman	Saint James Westminster, Middlesex	Saint James Westminster	Middlesex	27 August 1714	17140827	17140827	748625	ID=748625	1714
2531095	W		Richard	Scoryer	Writing Master	Wandsworth, Surrey	Wandsworth	Surrey	06 August 1714	17140806	17140806	748646	ID=748646	1714
2531095	W		Richard	Stacey	Yeoman	Alderton, Northamptonshire	Alderton	Northamptonshire	16 July 1714	17140716	17140716	748460	ID=748460	1714
