cat_id	will_sentence	title	forename	surname	occupation	geog_info	parish_place	county_country	date	first_date	last_date	edoc_id	image_id	year
2530553	W		Adam	De Bury		Saint Pauls, City of London	Saint Pauls	City of London	21 February 1386	13860221	13860221	1052741	ID=1052741	1386
2530553	W		Alexander	Bach	Bishop of Saint Asaph				15 September 1394	13940915	13940915	1052768	ID=1052768	1394
2530553	W		Alexander	Riston	Rector	Salisbury, Wiltshire	Salisbury	Wiltshire	April 1393	13930401	13930430	1052817	ID=1052817	1393
2530553	W		Alice	West		Hinton Martel, Dorset	Hinton Martel	Dorset	March 1395	13950301	13950331	1052775	ID=1052775	1395
2530553	W		Andrew	Mounteneye		London	London		04 October 1393	13931004	13931004	1052819	ID=1052819	1393
2530553	W		Christian	Mordon		Faversham, Kent	Faversham	Kent	June 1392	13920601	13920630	1052787	ID=1052787	1392
2530553	W		Edmund	Bromfeld	Bishop of Llandaff				February 1393	13930201	13930228	1052761	ID=1052761	1393
2530553	W		Elias	Spelly		Bristol, Gloucestershire	Bristol	Gloucestershire	25 May 1391	13910525	13910525	1052804	ID=1052804	1391
2530553	W		Guy	De Rocliff		Blackfriars, City of London	Blackfriars	City of London	December 1392	13921201	13921231	1052757	ID=1052757	1392
2530553	W		Henry	Bishop of Worcester					27 March 1395	13950327	13950327	1052770	ID=1052770	1395
2530553	W		Henry	de Welewes					25 May 1391	13910525	13910525	1052805	ID=1052805	1391
2530553	W		Henry	Perot or Perott					05 November 1393	13931105	13931105	1052821	ID=1052821	1393
2530553	W		Isabel	York	Duchess of Euerwyk Countess of Cambridge				July 1392	13920701	13920731	1052793	ID=1052793	1392
2530553	W		John	Blakeney		Charterhouse, City  of London	Charterhouse	City of London	15 May 1394	13940515	13940515	1052765	ID=1052765	1394
2530553	W		John	Botoner					20 July 1391	13910720	13910720	1052807	ID=1052807	1391
2530553	W		John	Conwardby					February 1386	13860201	13860228	1052742	ID=1052742	1386
2530553	W		John	De Appelby		Navestoke, Essex	Navestoke	Essex	September 1389	13890901	13890930	1052747	ID=1052747	1389
2530553	W		John	De Appleton		Dartford, Kent	Dartford	Kent	20 February 1392	13920220	13920220	1052798	ID=1052798	1392
2530553	W		John	de Bisschopiston	Cancellor and Canon of Chichester				10 December 1384	13841210	13841210	1052737	ID=1052737	1384
2530553	W		John	De Donewich	Master of Clare Cambridge	Donewich, Suffolk	Donewich	Suffolk	June 1392	13920601	13920630	1052789	ID=1052789	1392
2530553	W		John	De Heylesdon		Heylesdon, Norfolk	Heylesdon	Norfolk	26 April 1384	13840426	13840426	1052735	ID=1052735	1384
2530553	W		John	Fitz Nichole		Bardwell, Suffolk	Bardwell	Suffolk	15 February 1390	13900215	13900215	1052800	ID=1052800	1390
2530553	W		John	Fylioll or Fyliolle		Thorpe, Essex	Thorpe	Essex	February 1390	13900201	13900228	1052801	ID=1052801	1390
2530553	W		John	Glenhold		Munden, Hertfordshire	Munden	Hertfordshire	05 November 1390	13901105	13901105	1052783	ID=1052783	1390
2530553	W		John	Lynot					June 1394	13940601	13940630	1052763	ID=1052763	1394
2530553	W		John	Merton					July 1383	13830701	13830731	1052733	ID=1052733	1383
